# TI's operand text per instruction, and the template derived from it by
# probing each operand independently. `{N}` is our operand N, and
# `{N:@AH|AL}` the registers TI marks with `@` when N is register-direct.
#
# Regenerate: nix develop -c python3 scripts/probe_operands.py
#
# name	mnemonic	template	probed_text
MOVZ_AR2_LOC16	MOVZ	AR2, {0:@AR0|AR1|AR2|AR3|AR4|AR5}	AR2, @0x1
MOVZ_AR3_LOC16	MOVZ	AR3, {0:@AR0|AR1|AR2|AR3|AR4|AR5}	AR3, @0x1
MOVZ_AR4_LOC16	MOVZ	AR4, {0:@AR0|AR1|AR2|AR3|AR4|AR5}	AR4, @0x1
MOVZ_AR5_LOC16	MOVZ	AR5, {0:@AR0|AR1|AR2|AR3|AR4|AR5}	AR5, @0x1
MOVZ_AR6_LOC16	MOVZ	AR6, {0}	AR6, @0x1
MOVZ_AR7_LOC16	MOVZ	AR7, {0}	AR7, @0x1
MOVZ_DP_CONST10	MOVZ	DP, {0}	DP, #0x1
MOV_ACC_CONST16_SHIFT	MOV	ACC, {0} << {1:b}	ACC, #0x1 << 1
MOV_ACC_LOC16	MOV	ACC, {0}	ACC, @0x1
MOV_ACC_LOC16_SHIFT16	MOV	ACC, {0} << 16	ACC, @0x1 << 16
MOV_ACC_LOC16_SHIFT1_15_OBJMODE1	MOV	ACC, {0} << {1:b}	ACC, @0x1 << 1
MOV_ACC_LOC16_SHIFT_T	MOV	ACC, {0} << T	ACC, @0x1 << T
MOV_AR6_LOC16	MOV	AR6, {0:@AR0|AR1|AR2|AR3|AR4|AR5}	AR6, @0x1
MOV_AR7_LOC16	MOV	AR7, {0:@AR0|AR1|AR2|AR3|AR4|AR5}	AR7, @0x1
MOV_AX_LOC16	MOV	{0}, {1:@AH|AL}	AL, @0x1
MOV_DP_CONST10	MOV	DP, {0}	DP, #0x1
MOV_IER_LOC16	MOV	IER, {0}	IER, @0x1
MOV_LOC16_0	MOV	{0}, #0	@0x1, #0
MOV_LOC16_ACC_SHIFT1	MOV	{0}, ACC << 1	@0x1, ACC << 1
MOV_LOC16_ACC_SHIFT2_8_OBJMODE_1	MOV	{0}, ACC << {1:b}	@0x1, ACC << 2
MOV_LOC16_ARN	MOV	{0}, {1}	@0x1, AR1
MOV_LOC16_AX	MOV	{0}, {1}	@0x1, AL
MOV_LOC16_AX_COND	MOV	{0}, {1}, {2}	@0x1, AL, EQ
MOV_LOC16_CONST16	MOV	{0}, {1}	@0x1, #0x0001
MOV_LOC16_IER	MOV	{0}, IER	@0x1, IER
MOV_LOC16_MEM16	MOV	{0}, {1}	@0x1, *(0:0x0001)
MOV_LOC16_OVC	MOV	{0}, OVC	@0x1, OVC
MOV_LOC16_P	MOV	{0}, P	@0x1, P
MOV_LOC16_T	MOV	{0}, T	@0x1, T
MOV_MEM16_LOC16	MOV	{1}, {0}	*(0:0x0001), @0x1
MOV_OVC_LOC16	MOV	OVC, {0}	OVC, @0x1
MOV_PH_LOC16	MOV	PH, {0}	PH, @0x1
MOV_PL_LOC16	MOV	PL, {0}	PL, @0x1
MOV_PM_AX	MOV	PM, {0}	PM, AL
MOV_TL_0	MOV	TL, #0	TL, #0
